dollarsobligated,currentcontractvalue,ultimatecontractvalue,originalmajoragency,majoragency,originalcontractingagency,modifiedcontractingagency,contractingagency,contractingoffice,originalmajorfundingagency,majorfundingagency,modifiedfundingagency,programfundingagency,programfundingoffice,fundedbyforeigngovernmentorinter,agencywithintas,accountwithintas,subaccountwithintas,accounttitle,recoveryflag,signeddatecharacter,datesigned,effectivedatecharacter,effectivedate,currentcompletiondatecharacter,currentcompletiondate,ultimatecompletiondatecharacter,ultimatecompletiondate,idvtype,reasonformodification,typeofcontractpricing,lettercontract,multiyearcontract,performancebasedservicecontract,majorprogram,contingencyhumanitarianorpeaceke,costorpricingdatadod,contractfinancing,costaccountingstandardsclause,contractdescription,purchasecardaspaymentmethod,numberofactions,nationalinterestaction,idvlastdatetoordercharacter,idvlastdatetoorder,typeofidc,multipleorsingleawardidc,programacronym,bestvendorname,vendorname,vendoralternatename,vendorlegalorganizationname,vendordoingbusinessasname,bestvendornametype,divisionname,divisionnumberorofficecode,vendorenabled,vendorlocationdisableflag,ccrexception,vendoraddressline1,vendoraddressline2,vendoraddressline3,vendoraddresscity,originalvendoraddressstate,vendoraddressstate,vendoraddressstatelong,vendorzipcode,vendorcountry,originalvendorcongressionaldistr,vendorcongressionaldistrictmodif,vendorcongressionaldistrict,vendorsitecode,vendoralternatesitecode,vendordunsnumber,vendorduns,vendorphonenumber,vendorfaxnumber,ccrregistrationdatecharacter,ccrregistrationdate,ccrrenewaldatecharacter,ccrrenewaldate,parentname,changedparentname,bestparentname,parentduns13digit,parentduns,combinedduns,placeofperformancecode,originalplaceofperformancestate,placeofperformancestate,placeofperformancestateoriginal,placeofperformancecountry,placeofperformancezipcode,originalplacecongressionaldistri,placecongressionaldistrictmodifi,placeofperformancecongdistrict,majorproductorservicecode,productorservicecode,dodprogramsystemorequipmentcode,dodclaimantprogramcode,principalnaicscode,informationtechnologycommerciali,govtfurnishedequipmentorproperty,useofepadesignatedproducts,recoveredmaterialclauses,seatransportation,contractbundlingreason,consolidatedcontract,productcountryoforigin,uscontract,identifyingagencyid,procurementinstrumentid,modificationnumber,transactionnumber,fiscalyear,idvidentifyingagencyid,idvprocurementinstrumentid,idvmodificationnumber,solicitationid,uniquetransactionid,transactionstatus,competitioncategory,extentcompeted,reasonnotcompeted,numberofoffersreceived,commercialitemacquisitionprocedu,commercialitemtestprogram,smallbusinesscompetdemonstration,a76fairactaction,competitiveprocedures,solicitationprocedures,typeofsetaside,evaluatedpreference,typeofresearch,statutoryexceptiontofairopportun,businesssizedetermination,subcontractingplan,priceevaluationpercentdifference,fedbizopps,localareasetaside,organizationaltype,numberofemployees,annualrevenue,afirm,histunderutilizedbusinesszonehub,smalldisadvantagedbusiness,shelteredworkshopjwodprovider,historicallyblackcollegeoruniver,educationalinstitution,womanownedbusiness,veteranownedbusiness,servicedisabledveteranownedfirm,localgovernment,minorityinstitution,americanindianownedbusiness,stategovernment,federalgovernment,minorityownedbusiness,asianpacificamericanownedbusines,tribalgovernment,blackamericanownedbusiness,nativeamericanownedbusiness,subcontinentasianasianindianamer,hispanicamericanownedbusiness,hospital,forprofitorganization,nonprofitorganization,othernotforprofitorganization,foundation,hispanicservicinginstitution,landgrantcollege,v172,v173,veterinarycollege,veterinaryhospital,privateuniversityorcollege,schoolofforestry,statecontrolledinstitutionhigher,serviceprovider,receivescontracts,receivesgrants,receivescontractsandgrants,airportauthority,councilofgovernments,housingauthoritypublicortribal,interstateentity,planningcommission,portauthority,transitauthority,subchapterscorporation,limitedliabilitycorporation,foreignownedandlocated,architectureorengineering,dotcertifieddisadvantagedbusines,citylocalgovernment,communitydevelopcorpownedfirm,communitydevelopmentcorporation,constructionfirm,manufacturerofgoods,corporateentitynottaxexempt,countylocalgovernment,domesticshelter,federalagency,federallyfundedresearchanddevelc,foreigngovernment,indiantribefederallyrecognized,intermunicipallocalgovernment,internationalorganization,laborsurplusareafirm,localgovernmentowned,municipalitylocalgovernment,nativehawaiianownedfirm,otherbusinessororganization,otherminorityownedbusiness,partnershiporlimitedliabilitypar,schooldistrictlocalgovernment,smallagriculturalcooperative,soleproprietorship,townshiplocalgovernment,triballyownedfirm,tribalcollege,alaskannativeownedfirm,corporateentitytaxexempt,interagencycontractingauthority,sbacertifiedsmalldisadvantagedbu,emergingsmallbusiness,womenownedsmallbusiness,economicallydisadvantagedwomenow,womenownedsmallbusinessjointvent,economicallydisadvwomenownedsmal,manufacturingorganizationtype,walshhealyact,servicecontractact,davisbaconact,clingercohenact,otherstatutoryauthority,v237,rando,effective_year,effective_month,effective_day,signed_year,signed_month,signed_day
24.76,24.76,24.76,,Dept. of Veterans Affairs,3600,"3600: VETERANS AFFAIRS, Department of","VETERANS AFFAIRS, Department of",00642P, ,Dept. of Veterans Affairs,"3600: VETERANS AFFAIRS, Department of", ,,Not Applicable,,,,,,05/26/2006,05/26/2006,05/26/2006,05/26/2006,05/26/2006,05/26/2006,05/26/2006,05/26/2006,Delivery Order (DO),Invalid code: ,Fixed Price,X,No,X,,None,Invalid code: ,Invalid code: ,X,PROSTHETICS,No,1,NONE,,,,,,A&D ENGINEERING INCORPORATED,A&D ENGINEERING INCORPORATED,A&D WEIGHING,A&D ENGINEERING INCORPORATED,A&D WEIGHING,Invalid code: ,,,,,,1555 MCCANDLESS DR.,,,MILPITAS,CA,CA: California,CA,950358020,UNITED STATES,CA15,CA15,CA15,1021079270000PR,950358020,102107927,102107927,,,,,02/18/2005,02/18/2005,A&D COMPANY  LIMITED,A&D COMPANY  LIMITED,A&D COMPANY  LIMITED,691722987,691722987,691722987,,PA,PA: Pennsylvania,PA: PENNSYLVANIA,United States,191044594,PA02,PA02,PA02,"65: Medical, dental, and veterinary equipment and supplies","6530: Hospital Furniture, Equipment, Utensils, and Supplies",,,339112: Surgical and Medical Instrument Manufacturing,,No,Not Required,Invalid code: ,,Not a bundled requirement,No, ,Invalid code: ,"3600: VETERANS AFFAIRS, Department of",V642P6P049,0,0,2006,"3600: VETERANS AFFAIRS, Department of",V797P9108,0,,6b12243396805ef39a5a2c6ef191cdcd,active,Unknown,Invalid code: , ,1,D,N,No,No,,SSS: Single Source Selected,NONE: No set aside used.,No Preference used,Invalid code: ,Invalid code: ,Other Than Small Business,Invalid code: ,0,Not Applicable: transaction with obligation less than or equal to $25K,,,55,$27000000.00,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,No,No,No,Unknown,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,,X,X,X,No,,,-1.9515558,2006,5,26,2006,5,26
1141.94,1141.94,1141.94,,Dept. of Veterans Affairs,3600,"3600: VETERANS AFFAIRS, Department of","VETERANS AFFAIRS, Department of",0069DS, ,Dept. of Veterans Affairs,"3600: VETERANS AFFAIRS, Department of", ,,Not Applicable,,,,,,01/07/2008,01/07/2008,01/07/2008,01/07/2008,01/14/2008,01/14/2008,01/14/2008,01/14/2008,Delivery Order (DO),Invalid code: ,Fixed Price,X,No,X,,None,Invalid code: ,Invalid code: ,X,HEWLETT-PACKARD SMART PRINT CARTRIDGE. LASERJET 4,Yes,1,NONE,,,,,,"ABM OFFICE SUPPLY CO, INC","ABM OFFICE SUPPLY CO, INC",,,,Invalid code: ,,,,,,5 RESEARCH PARK DR,,,SAINT CHARLES,MO,MO: Missouri,MO,633045685,UNITED STATES,MO09,MO09,MO09,,,64632888,64632888,,,,,,,ABM FEDERAL SALES  INC.,ABM FEDERAL SALES  INC.,ABM FEDERAL SALES  INC.,64632888,64632888,,,IL,IL: Illinois,IL: ILLINOIS,United States,601417011,IL07,IL07,IL07,70: Automatic data processing equipment,7045: ADP Supplies,,,339944: Carbon Paper and Inked Ribbon Manufacturing,,No,Not Required,Invalid code: ,,Not a bundled requirement,No, ,Invalid code: ,"3600: VETERANS AFFAIRS, Department of",V578R81703,0,0,2008,4730: Federal Supply Service,GS14F0167D,0,,56b6c7029b922772523b45c931cbcfdb,active,Unknown,Invalid code: , ,1,D,N,No,No,,SP1: Simplified Acquisition,NONE: No set aside used.,No Preference used,Invalid code: ,Invalid code: ,Small Business,Invalid code: ,0,Not Applicable: transaction with obligation less than or equal to $25K,,,0,$0.00,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,No,No,No,Unknown,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,,X,X,X,No,,,-1.7593271,2008,1,7,2008,1,7
137.08,137.08,137.08,,General Services Administration,4730,4730: Federal Supply Service,Federal Supply Service,CR000,9700,Dept. of Defense,"2100: ARMY, Department of the (except Corps of Engineers Civil Program Financing)","ARMY, Department of the (except Corps of Engineers Civil Program Financing)",WK4F10,Not Applicable,,,,,,11/15/2005,11/15/2005,11/15/2005,11/15/2005,12/03/2005,12/03/2005,12/03/2005,12/03/2005,Delivery Order (DO),Invalid code: ,Fixed Price with Economic Price Adjustment,X,No,X,,None,Invalid code: ,Invalid code: ,X,"CARTRIDGE,TONER",No,1,NONE,,,,,,"ABM OFFICE SUPPLY CO, INC","ABM OFFICE SUPPLY CO, INC",,,,Invalid code: ,,,,,,5 RESEARCH PARK DR,,,SAINT CHARLES,MO,MO: Missouri,MO,633045685,UNITED STATES,MO09,MO09,MO09,,,64632888,64632888,,,,,,,ABM FEDERAL SALES  INC.,ABM FEDERAL SALES  INC.,ABM FEDERAL SALES  INC.,64632888,64632888,064632888,,MO,MO: Missouri,MO: MISSOURI,United States,633044568,MO09,MO09,MO09,36: Special industry machinery,"3610: Printing, Duplicating, and Bookbinding Equipment",,,333298: All Other Industrial Machinery Manufacturing,,No,Not Required,Invalid code: ,,Not a bundled requirement,No, ,Invalid code: ,4730: Federal Supply Service,GSNPNEL31346,0,0,2006,4730: Federal Supply Service,GS25F0042L,0,,1af068de444dc5e8b5ff71084ccb2ec0,active,Full and open competition,CDO: Competitive Delivery Order, ,999,D,N,No,No,,NP: Negotiated Proposal / Quote,NONE: No set aside used.,No Preference used,Invalid code: ,Invalid code: ,Small Business,Invalid code: ,0,Not Applicable: transaction with obligation less than or equal to $25K,,,0,$0.00,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,No,No,No,Unknown,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,,X,X,X,No,,,-2.3741438,2005,11,15,2005,11,15
3026.1,3026.1,3026.1,,Dept. of Agriculture,12H2,12H2: Agricultural Research Service,Agricultural Research Service,81K1, ,Dept. of Agriculture,12H2: Agricultural Research Service, ,,Not Applicable,,,,,,08/26/2008,08/26/2008,08/26/2008,08/26/2008,09/26/2008,09/26/2008,09/26/2008,09/26/2008,Purchase Order (PO),Invalid code: ,Fixed Price,X,No,X,,None,Invalid code: ,Invalid code: ,No,"THIRTY 20X20X4 AIR FILTERS, 72 24X24X4 AIR FILTERS, 24 20X24X4 AIR FILTERS, 96 24X24X2 AIR FILTERS, 48 20X24X2 AIR FILTERS, 17 20X20X12 AIR FILTERS, 12 20X24X12 AIR FILTERS, AND 36 24X24X12 AIR FILTERS.",Yes,1,NONE,,,,,,A F P SALES & SERVICE INC,A F P SALES & SERVICE INC,,,,Invalid code: ,,,,,,1340 N 29TH DR,,,PHOENIX,AZ,AZ: Arizona,AZ,850093532,UNITED STATES,AZ04,AZ04,AZ04,107225484,850093532,107225484,107225484,,,09/21/2099,09/21/2099,03/21/2009,03/21/2009,A F P SALES & SERVICE INC,A F P SALES & SERVICE INC,A F P SALES & SERVICE INC,107225484,107225484,,,AZ,AZ: Arizona,AZ: ARIZONA,United States,852383004,AZ07,AZ07,AZ07,"41: Refrigeration, air conditioning equipment",4130: Refrigeration and Air Conditioning Components,,,333411: Air Purification Equipment Manufacturing,,No,Meets Requirements,No Clauses Included,,Invalid code: ,No,United States,Invalid code: ,12H2: Agricultural Research Service,AG81K1P08DH32,0,0,2008, ,,,,de4aa819264bb95ab9de697a0e524dbf,active,Competed after exclusion of sources,D: Full and Open Competition after exclusion of sources, ,4,A,N,No,No,,SP1: Simplified Acquisition,NONE: No set aside used.,No Preference used,Invalid code: ,Invalid code: ,Small Business,Invalid code: ,0,Not Applicable: transaction with obligation less than or equal to $25K,N,CORPORATE NOT TAX EXEMPT,35,$3600000.00,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,A,X,X,X,No,,,-1.9922941,2008,8,26,2008,8,26
27.86,27.86,27.86,,Dept. of Veterans Affairs,3600,"3600: VETERANS AFFAIRS, Department of","VETERANS AFFAIRS, Department of",00629P, ,Dept. of Veterans Affairs,"3600: VETERANS AFFAIRS, Department of", ,,Not Applicable,,,,,,07/27/2006,07/27/2006,07/27/2006,07/27/2006,07/27/2006,07/27/2006,07/27/2006,07/27/2006,Delivery Order (DO),Invalid code: ,Fixed Price,X,No,X,,None,Invalid code: ,Invalid code: ,X,PROSTHETICS,No,1,NONE,,,,,,A&D ENGINEERING INCORPORATED,A&D ENGINEERING INCORPORATED,A&D WEIGHING,A&D ENGINEERING INCORPORATED,A&D WEIGHING,Invalid code: ,,,,,,1555 MCCANDLESS DR.,,,MILPITAS,CA,CA: California,CA,950358020,UNITED STATES,CA15,CA15,CA15,1021079270000PR,950358020,102107927,102107927,,,,,02/18/2005,02/18/2005,A&D COMPANY  LIMITED,A&D COMPANY  LIMITED,A&D COMPANY  LIMITED,691722987,691722987,691722987,,LA,LA: Louisiana,LA: LOUISIANA,United States,701121262,LA02,LA02,LA02,"65: Medical, dental, and veterinary equipment and supplies","6530: Hospital Furniture, Equipment, Utensils, and Supplies",,,339112: Surgical and Medical Instrument Manufacturing,,No,Not Required,Invalid code: ,,Not a bundled requirement,No, ,Invalid code: ,"3600: VETERANS AFFAIRS, Department of",V629R66363,0,0,2006,"3600: VETERANS AFFAIRS, Department of",V797P9108,0,,aba94451a073e180184e92302046ab91,active,Unknown,Invalid code: , ,1,D,N,No,No,,SSS: Single Source Selected,NONE: No set aside used.,No Preference used,Invalid code: ,Invalid code: ,Other Than Small Business,Invalid code: ,0,Not Applicable: transaction with obligation less than or equal to $25K,,,55,$27000000.00,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,No,No,No,Unknown,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,,X,X,X,No,,,-1.8335437,2006,7,27,2006,7,27
0,0,0,,General Services Administration,4740,4740: Public Buildings Service,Public Buildings Service,CD000, ,General Services Administration,4740: Public Buildings Service, ,,Not Applicable,,,,,,12/17/2004,12/17/2004,12/17/2004,12/17/2004,04/18/2005,04/18/2005,04/18/2005,04/18/2005,Definitive Contract (DCA),Other Administrative Action,Fixed Price,X,No,No,,None,Invalid code: ,Invalid code: ,X,"LOWER LEVEL RENOVATIONS 244 NEEDY ROAD  MARTINSBURG, WV",No,1,NONE,,,,,,A A M C INCORPORATED,A A M C INCORPORATED,A A M C INC.,,,Invalid code: ,,,,,,RT. 1 BOX 236,,,FLEMINGTON,WV,WV: West Virginia,WV,263479729,UNITED STATES,WV01,WV01,WV01,0086410030000,263479729,8641003,8641003,,,,,08/19/2005,08/19/2005,A.A.M.C. INC.,A.A.M.C. INC.,A.A.M.C. INC.,8641003,8641003,008641003,,WV,WV: West Virginia,WV: ,United States,,WV00,WV90,WV00,"Z: Maintenance, repair, or alteration of real property","Z111: Maintenance, Repair or Alteration of Real Property -- Office Buildings",,,236220: Commercial and Institutional Building Construction,,No,Meets Requirements,FAR 52.223-4 and FAR 52.223-9 Included (Recovered Material Certification and Recovered Material Content),,Not a bundled requirement,No, ,Invalid code: ,4740: Public Buildings Service,GS03P05CDC0004,PA03,0,2005, ,,,,9c45ffbf86566cbd161bf05b2dddec26,active,Not available for competition,B: Not Available for Competition,OTH: Authorized by Statute,1,D,N,Yes,No,,Invalid code: ,8AN: 8(a) Sole Source,Invalid code: ,Invalid code: ,Invalid code: ,Small Business,Plan Not Required,0,Not Applicable: transaction with obligation less than or equal to $25K,,,12,$10000000.00,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,No,No,No,Unknown,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,,X,X,Yes,No,,,-1.7676364,2004,12,17,2004,12,17
89375,0,0,9700,Dept. of Defense,97AS,97AS: Defense Logistics Agency,Defense Logistics Agency,0400,9700,Dept. of Defense,97AS: Defense Logistics Agency,Defense Logistics Agency,,Not Applicable,,,,,,07/17/2000,07/17/2000,07/17/2000,07/17/2000,08/16/2000,08/16/2000,,,Purchase Order (PO),Invalid code: ,Fixed Price,X,No,X,,None,No,Not Applicable,X, ,No,1,NONE,,,,,,"ALAMO AIRCRAFT, LTD.","ALAMO AIRCRAFT, LTD.",,,,Invalid code: ,,,,,,2538 SW 36TH ST.,,,SAN ANTONIO,TX,TX: Texas,TX,78237,UNITED STATES,TX20,TX20,TX20,,,27005180,27005180,,,,,,,ALAMO AIRCRAFT  LTD.,ALAMO AIRCRAFT  LTD.,ALAMO AIRCRAFT  LTD.,27005180,27005180,027005180,65000,TX,TX: Texas,TX: ,United States,,TX00,TX90,TX00,66: Instruments and laboratory equipment,"6685: Pressure, Temperature, and Humidity Measuring and Controlling Instruments",4000,C9E, ,,No,Invalid code: ,Invalid code: ,,Invalid code: ,No, ,Invalid code: ,"9700: DEFENSE, Department of",SP044000MDK28,0,0,2000, ,,0,,5e577cdfcf7e9051fb795108f7dc44ec,active,"Full and open competition, but only one bid",A: Full and Open Competition, ,1,D,N,No,No,,SP1: Simplified Acquisition,NONE: No set aside used.,Invalid code: ,Invalid code: ,Invalid code: ,Small Business,Plan Not Required,0,Not Applicable: transaction with obligation less than or equal to $25K,,,0,$0.00,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,No,No,No,Unknown,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,,Yes,X,X,No,,,-1.8222767,2000,7,17,2000,7,17
79049,0,0,9700,Dept. of Defense,2100,"2100: ARMY, Department of the (except Corps of Engineers Civil Program Financing)","ARMY, Department of the (except Corps of Engineers Civil Program Financing)",MD17,9700,Dept. of Defense,"2100: ARMY, Department of the (except Corps of Engineers Civil Program Financing)","ARMY, Department of the (except Corps of Engineers Civil Program Financing)",,Not Applicable,,,,,,04/23/2002,04/23/2002,04/23/2002,04/23/2002,02/13/2003,02/13/2003,,,Delivery Order (DO),Funding Only Action,Cost Plus Fixed Fee,X,No,No,,None,No,Not Applicable,Yes, ,No,1,NONE,,,,,,AZIMUTH INCORPORATED,AZIMUTH INCORPORATED,,,,Invalid code: ,,,,,,3741 MORGANTOWN INDUSTRIAL,,,MORGANTOWN,WV,WV: West Virginia,WV,26501,UNITED STATES,WV01,WV01,WV01,,,603203142,603203142,,,,,,,AZIMUTH  INC,AZIMUTH  INC,AZIMUTH  INC,603203142,603203142,603203142,29225,MD,MD: Maryland,MD: ,United States,,MD00,MD90,MD00,"R: Professional, admin, and management support services",R408: Program Management/Support Services,1000,S1,561499: All Other Business Support Services,,No,Not Required,No Clauses Included,U,Not a bundled requirement,No, ,Invalid code: ,"9700: DEFENSE, Department of",0003,1,0,2002,"9700: DEFENSE, Department of",DAMD1702D0001,0,,74484d2d357d7f348a10f5df806a0602,active,Not competed,C: Not Competed,OTH: Authorized by Statute,1,D,N,No,No,,SSS: Single Source Selected,NONE: No set aside used.,No Preference used,Invalid code: ,Invalid code: ,Small Business,Plan Not Required,0,Not Applicable: transaction with obligation less than or equal to $25K,,,0,$0.00,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,No,No,No,Unknown,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,X,Yes,No,No,No,No,No,,X,No,X,No,,,-1.8031299,2002,4,23,2002,4,23
22397.2,22397.2,22397.2,3600,Dept. of Veterans Affairs,3600,"3600: VETERANS AFFAIRS, Department of","VETERANS AFFAIRS, Department of",00243S,3600,Dept. of Veterans Affairs,"3600: VETERANS AFFAIRS, Department of","VETERANS AFFAIRS, Department of",00243,Not Applicable,,,,,,09/28/2010,09/28/2010,09/28/2010,09/28/2010,10/08/2010,10/08/2010,10/08/2010,10/08/2010,Purchase Order (PO),Invalid code: ,Fixed Price,X,Unknown,X,,None,Invalid code: ,Invalid code: ,Unknown,TAS::36 0160::TAS FURNITURE,Yes,1,NONE,,,,,,"ACCESS DISTRIBUTORS, INC.","ACCESS DISTRIBUTORS, INC.",,,,Invalid code: ,,,,,,9 SUMMER ST STE 305,,,FRANKLIN,MA,MA: Massachusetts,MA,020383823,UNITED STATES,MA03,MA03,MA03,941326894,020383823,941326894,941326894,,,07/18/2001,07/18/2001,09/01/2011,09/01/2011,ACCESS DISTRIBUTORS  INC.,ACCESS DISTRIBUTORS  INC.,ACCESS DISTRIBUTORS  INC.,941326894,941326894,,,NJ,NJ: New Jersey,NJ: NEW JERSEY,United States,070181023,NJ10,NJ10,NJ10,71: Furniture,7110: Office Furniture,,, ,,No,Not Required,Invalid code: ,,Not a bundled requirement,No, ,Mfg in U.S.,"3600: VETERANS AFFAIRS, Department of",V561R09480,0,0,2010, ,,0,,92426878e5901bc997df8dc164ec1c52,active,Not competed,"G: Not Competed, under SAT (Simplified Acquisition Threshold)",SP2: Simplified Acquisition Procedures Non-Competitive,1,A,N,No,No,,SP1: Simplified Acquisition,NONE: No set aside used.,No Preference used,Invalid code: ,Invalid code: ,Small Business,Plan Not Required,0,Not Applicable: transaction with obligation less than or equal to $25K,N,OTHER,2,$1750000.00,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,X,Yes,No,No,No,No,No,A,X,X,X,No,,,-1.7128249,2010,9,28,2010,9,28
17527.3,17527.3,0,,General Services Administration,4730,4730: Federal Supply Service,Federal Supply Service,CR000, ,General Services Administration,4730: Federal Supply Service, ,,Not Applicable,,,,,,11/10/2008,11/10/2008,11/10/2008,11/10/2008,11/28/2008,11/28/2008,,,Blanket Purchase Agreement Call,Invalid code: ,Invalid code: N,X,No,X,,None,Invalid code: ,Invalid code: ,X,DESCR N.A.,No,1,NONE,,,,,,WESTERN PLASTICS INCORPORATED,WESTERN PLASTICS INCORPORATED,,,,Invalid code: ,,,,,,2399 HIGHWAY 41 SOUTH SW,,,CALHOUN,GA,GA: Georgia,GA,307011334,UNITED STATES,GA00,GA90,GA00,6143074290000PR,307011334,614307429,614307429,,,,,02/24/2006,02/24/2006,ADMORAN LTD,ADMORAN LTD,ADMORAN LTD,987115268,987115268,987115268,,GA,GA: Georgia,GA: GEORGIA,United States,307013346,GA11,GA11,GA11,"81: Containers, packaging, and packing supplies",8135: Packaging and Packing Bulk Materials,,,"331315: Aluminum Sheet, Plate, and Foil Manufacturing",,No,Invalid code: ,Invalid code: ,,Invalid code: ,No, ,Invalid code: ,4730: Federal Supply Service,GSNWN9A2AN,0,0,2009,4730: Federal Supply Service,GS02FWPLYZ,0,,706736126d54cf994daed093c83029b2,active,"Full and open competition, but only one bid",A: Full and Open Competition, ,0,D,N,No,No,,NP: Negotiated Proposal / Quote,NONE: No set aside used.,No Preference used,Invalid code: ,Invalid code: ,Small Business,Invalid code: ,0,Not Applicable: transaction with obligation less than or equal to $25K,,,75,$30000000.00,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,,X,X,X,No,,,-1.6673913,2008,11,10,2008,11,10
